shot,bitstring
0,1111111111
1,1111000101
2,1110001111
3,1111101101
4,1111011101
5,1111101111
6,1111100001
7,0010000000
8,0000000000
9,1111111111
10,0000100000
11,1111111111
12,0000000000
13,1011111101
14,0000100000
15,1100000000
16,0010100000
17,1111111111
18,1111111101
19,1111111111
20,0000001100
21,0000000000
22,0000000010
23,0000100000
24,0000000000
25,1111111111
26,0000000000
27,0000000000
28,0000000000
29,1111111111
30,1110111101
31,1111111111
32,1011111111
33,1111111101
34,0000000000
35,0100000000
36,0000000010
37,0000000000
38,0000000000
39,1111111111
40,0000000000
41,1111111111
42,0000000000
43,1111111101
44,1111111101
45,1000000001
46,1111111111
47,1111111111
48,1111111111
49,0000000000
50,0000000000
51,1111111111
52,0001111110
53,1111111111
54,0000000000
55,0010000000
56,0000001100
57,1111111111
58,1111111011
59,1111111111
60,1111111111
61,1111111111
62,1101011111
63,0001111110
64,0111111110
65,0000100000
66,0000000000
67,0000000000
68,0000000000
69,0000000000
70,1111111111
71,0000010000
72,0000000000
73,0000100000
74,1111111101
75,1111111101
76,1101000011
77,0000000000
78,1110000001
79,0000000000
80,1000000000
81,0000001000
82,0000000010
83,1111111111
84,0000000000
85,1111111111
86,1111111111
87,0000000000
88,1111111111
89,1111011111
90,1111101101
91,0000000000
92,1111000001
93,1110111111
94,1111111111
95,0000000000
96,1111111111
97,1111111101
98,0001111110
99,0000000000
100,0111111111
101,1110111101
102,0000000000
103,1111111111
104,1111111111
105,0000000000
106,1111111111
107,1111011111
108,1111111101
109,1111111111
110,0000000000
111,1111111111
112,0000000000
113,1111111111
114,1111111111
115,0000000100
116,1111111111
117,0000000010
118,0000000000
119,0000000000
120,0001000000
121,1111111111
122,0000000000
123,0000000000
124,1111111111
125,0000000010
126,0000000000
127,0000000010
128,1111111101
129,1111111101
130,0000000000
131,0000000000
132,1110111111
133,1111111111
134,1111111111
135,1111111111
136,1111111111
137,1111111111
138,1111111101
139,0000000000
140,0000000000
141,0000000000
142,0000000000
143,0000000000
144,1111111111
145,1110111101
146,0000000000
147,1111111111
148,0001000100
149,0000000100
150,0110000000
151,1011111111
152,0000000000
153,0000010010
154,1111111111
155,1111111111
156,1000000000
157,0000000000
158,0001000000
159,1111110111
160,1111111111
161,1111111111
162,0000000000
163,1101111111
164,0000000000
165,1111111111
166,1111111111
167,1011111111
168,1111111111
169,0000001000
170,1000000000
171,0000000010
172,1110010001
173,1110110011
174,1111111111
175,1111111101
176,1111111111
177,1111111111
178,1101111111
179,0000000000
180,0000000010
181,1111111111
182,1101111111
183,1111111111
184,0011111110
185,1111111111
186,0000100000
187,0000000000
188,0000001010
189,1111111111
190,0000000100
191,1111111111
192,1110111101
193,1111111111
194,1111111101
195,0111111111
196,1111111111
197,1111111111
198,1111111111
199,1111111011
200,0000110000
201,0000000000
202,0000010000
203,1111111111
204,0000000000
205,0100000000
206,1111111111
207,0000000000
208,1111111111
209,1110011101
210,0000000000
211,1111111111
212,0000000000
213,1111111111
214,0000000000
215,0000000010
216,0000000000
217,0000000000
218,0000000000
219,0000000000
220,1111111111
221,1111111101
222,0000000000
223,0000000100
224,1111111111
225,1111111101
226,0000000000
227,0000000000
228,0000001110
229,1111111101
230,1111111101
231,0000000000
232,1111111111
233,1111111101
234,1111111111
235,1000000000
236,1110111111
237,1111100001
238,0010011100
239,1111110111
240,0000110000
241,1111111111
242,0000000000
243,0000000000
244,1111111101
245,1111111111
246,1100000011
247,1111000001
248,1100000001
249,1000000000
250,1111111111
251,0000000010
252,0000000000
253,1111111111
254,1111111111
255,1111111111
256,1111111101
257,0000000000
258,1111111011
259,0001111010
260,0000000000
261,0000000000
262,1111101101
263,0000000000
264,0000110100
265,1111111111
266,1110111111
267,0110000000
268,1111111111
269,0101010000
270,1111111111
271,0000100000
272,1111011111
273,1000000010
274,1011111111
275,1111111001
276,0000000000
277,0000000000
278,1111111111
279,0000000000
280,0001000000
281,0000000000
282,0000000000
283,0000000000
284,1111111111
285,0000000000
286,1111111111
287,1011101111
288,0000000000
289,0000000000
290,1111111111
291,1111101111
292,0000000000
293,0000000010
294,1111111111
295,1111111111
296,1111111111
297,0000000000
298,0000000000
299,1111111111
300,0000000000
301,1111111111
302,0000000000
303,1111111111
304,1111111111
305,0000001010
306,0000000000
307,1111111111
308,1111111111
309,0000000000
310,1111111111
311,1111110101
312,1111111111
313,1111111111
314,0000000000
315,1111111111
316,1111111111
317,1111111111
318,0000000000
319,1111111111
320,0000000000
321,0000000000
322,1111101111
323,0001000000
324,1111111111
325,0000000000
326,1111111111
327,1111111101
328,1011101101
329,0000000000
330,0000000000
331,1111111111
332,0000000000
333,0000000000
334,1111110111
335,1111111111
336,0000000000
337,0000000000
338,0000000000
339,1000000000
340,1111111101
341,0000000000
342,1111111111
343,1111111110
344,0000000000
345,1111111111
346,1111111111
347,1111111111
348,0000000000
349,0000010000
350,1111111101
351,1111111101
352,1111111111
353,0000000010
354,1111011111
355,0000000000
356,1111011111
357,0001000000
358,1111101111
359,0000000000
360,0000000000
361,1111111111
362,1111111111
363,0000010000
364,0000000000
365,0000010110
366,1111111101
367,1011111111
368,1111111101
369,0101000000
370,0000000000
371,0000111110
372,0000000000
373,1111111111
374,0000000000
375,0000011110
376,1111111111
377,1111111111
378,1111101111
379,1111111011
380,0000000000
381,1111111001
382,1110000011
383,0000000000
384,0000000000
385,1111111111
386,0000000000
387,1111111111
388,0111111111
389,0000000000
390,0000000000
391,0000000000
392,0000000000
393,1111111111
394,0000000110
395,0000000010
396,0000000000
397,1111111111
398,0010111100
399,1111111111
400,0000000000
401,1111111111
402,0000000000
403,1111111111
404,0000000000
405,0000000000
406,0000000010
407,1011111101
408,0000000000
409,0000000000
410,0000000000
411,0000000000
412,0000000000
413,1111111111
414,0000000010
415,0000000010
416,0000000000
417,0000000000
418,1111111101
419,1111111111
420,1000000000
421,1111111111
422,1111111101
423,1111111111
424,0000000000
425,1111011111
426,0000000000
427,0000000000
428,0000000000
429,0000000000
430,0000000000
431,0000000000
432,0000000000
433,1111111001
434,0000000000
435,1111111100
436,1111111111
437,0000000000
438,1111111101
439,1101111111
440,0001111100
441,1111111111
442,1111110111
443,0000010000
444,1111111111
445,0000000000
446,0000000000
447,0000000000
448,1111111101
449,0000100000
450,1111111111
451,0000000000
452,1111111111
453,0000000000
454,0000000000
455,0000000000
456,1011111111
457,0000000000
458,0000000000
459,1111111111
460,1111111111
461,0000000000
462,1111111101
463,0000001110
464,1111111101
465,0000000000
466,1111111111
467,1110100001
468,0000000000
469,1011111101
470,1000000001
471,1111111101
472,1111111101
473,0000000000
474,0000010110
475,0000000000
476,0001000000
477,1111111101
478,0000000000
479,1110111101
480,0000000000
481,1111111111
482,0000000000
483,0000000000
484,0000000000
485,1111111111
486,0000000000
487,1111111111
488,0010000000
489,1111111101
490,1111111101
491,1011111111
492,1111100001
493,0000000000
494,0000000000
495,1111111111
496,0101000000
497,1111111111
498,1111111111
499,0000000000
500,1000000001
501,1110000001
502,0000000000
503,0000000000
504,0010000000
505,1111111111
506,0000000000
507,1110011101
508,1111111101
509,0000000000
510,1111111101
511,1101111111
512,1011111110
513,0000000000
514,0001000000
515,1111111111
516,0000000010
517,0001000000
518,0000000000
519,0000000000
520,0000100000
521,1111000001
522,0000000010
523,0000000000
524,1111111111
525,1111111101
526,1111111111
527,0000000000
528,0000000000
529,1111111101
530,1110111111
531,0000000000
532,1111111111
533,1111111011
534,1111111111
535,0000000000
536,1111111111
537,0100000000
538,0000000010
539,0000001010
540,1111111111
541,0000010000
542,0000000000
543,0000000000
544,0000000000
545,1111111111
546,1111111111
547,0000000000
548,0000000000
549,0000000000
550,0100000000
551,1111111101
552,0111101001
553,1111101001
554,0000000000
555,1111111111
556,1111111111
557,0000000000
558,1110111111
559,1111111101
560,0010001000
561,1100001001
562,0000000000
563,0000000000
564,1100000001
565,1111111111
566,1111111111
567,1111111111
568,1111110111
569,1111111001
570,0000000000
571,1111111111
572,0000000000
573,0000000000
574,0001000000
575,1111111011
576,1111111101
577,1111111111
578,0000000000
579,1111111011
580,1101111101
581,0111111101
582,0000000000
583,0001000000
584,0000000000
585,1111111111
586,1111111111
587,0000000000
588,0000000010
589,0000000000
590,1111101111
591,1111111111
592,0000000010
593,0000000000
594,1111111111
595,1111111011
596,1110111111
597,1011111111
598,0000000000
599,1111111111
600,1111111111
601,0000000000
602,1111111111
603,1000011111
604,1111111111
605,1000000001
606,0000000000
607,0010000000
608,0000000110
609,1111111111
610,0000001110
611,1111111111
612,1111111111
613,0000000000
614,1111111111
615,1111111111
616,1000000001
617,0000111110
618,0000000010
619,1111111111
620,0000000000
621,1111101001
622,0000000010
623,0000010000
624,1101111111
625,0000000000
626,0000000010
627,1111001111
628,1111111111
629,0000000000
630,0000000000
631,1111111111
632,0000000010
633,0011111110
634,0000000000
635,0000000010
636,1111111111
637,1111111111
638,0001111110
639,0000000010
640,1111111111
641,1111111111
642,1111111111
643,0000000000
644,0000000000
645,0000000000
646,1011111111
647,1111111111
648,1110111111
649,1111111111
650,0000000000
651,0000111110
652,0000000000
653,1111111111
654,0000000000
655,0000000000
656,1111111111
657,0000000000
658,1111101111
659,1111111101
660,1110000001
661,1110111111
662,1111111111
663,1111111011
664,0000000000
665,0000000000
666,1000000000
667,1111111111
668,0000000010
669,1111111111
670,1111111111
671,1111011111
672,1111111111
673,0000000000
674,0000000000
675,0000000000
676,1111111111
677,1111111111
678,0000000010
679,0000000000
680,0000000010
681,1111111111
682,1111111111
683,0000100000
684,1111011111
685,0000000000
686,1111111111
687,0000000000
688,0000000010
689,0000000000
690,0000000000
691,1111111111
692,1111111111
693,0000000000
694,0000000000
695,1111111111
696,0100000000
697,1111111111
698,0000000000
699,0000000000
700,1111110111
701,1110111111
702,1111111111
703,0000000010
704,0000011110
705,0000000000
706,0000000000
707,1111111101
708,1111100011
709,1111111111
710,1111110101
711,1101111101
712,0000000000
713,1111111111
714,0000000000
715,0000000000
716,0000000010
717,0000000000
718,0000000000
719,1111111111
720,0000010000
721,0000000000
722,0000010000
723,1111101001
724,1111101111
725,1111110111
726,0000000000
727,1111111111
728,0000000010
729,0000000000
730,1111111111
731,1111111111
732,0000000000
733,0011111111
734,1111111111
735,1111111111
736,1110000001
737,0000000010
738,0000000010
739,1111111111
740,1111111111
741,1111111101
742,1101111111
743,1111111111
744,0000000010
745,1111110111
746,0000000000
747,0000000010
748,1111111111
749,0000000000
750,0000101100
751,0100000000
752,0000000010
753,0000000010
754,0011000010
755,1111111111
756,0000000010
757,1110000010
758,1111111111
759,0000000010
760,1111111111
761,1110111111
762,1111111111
763,1111111111
764,1111111111
765,0111111111
766,1111111111
767,1111111011
768,1111111111
769,1111111101
770,0000000000
771,0000000010
772,1111111111
773,0000000000
774,1111111111
775,0100000000
776,1111111111
777,1111111101
778,1000000000
779,1111111111
780,0000000000
781,0010000000
782,0100001000
783,0000000000
784,1111111111
785,1111111111
786,1111111111
787,0000000010
788,0000000000
789,1111111111
790,0110000000
791,1111111111
792,0010000010
793,1111111011
794,0000001000
795,1111111111
796,1111111111
797,0000000000
798,1111111111
799,1110000001
800,0000000010
801,1111111111
802,1111111111
803,1111111111
804,0000000000
805,1010000111
806,1111111101
807,0000000100
808,1111111111
809,0001111110
810,0000000000
811,0000000000
812,1111111111
813,1000000001
814,1111111111
815,0001000000
816,0000000000
817,1111111111
818,0000000000
819,1111110101
820,1110111111
821,1111111111
822,1111111111
823,1111111011
824,1111011001
825,1111111111
826,0000000000
827,0000000010
828,0000000000
829,1111111111
830,1111111101
831,0000000000
832,0000000010
833,0000000010
834,0000000000
835,0000000000
836,1111110101
837,1111111111
838,0000010000
839,0000000010
840,1111111111
841,0000000010
842,0000000000
843,1111111111
844,1111111111
845,0000000000
846,1111110001
847,1111111011
848,1111111111
849,1111111001
850,1111111111
851,1111111111
852,1111111111
853,1111111111
854,0001000010
855,1111111101
856,1111111111
857,1111111011
858,1111111111
859,1111111111
860,1111111111
861,0101000010
862,1111111111
863,1111111111
864,1111111111
865,1111111111
866,0000000000
867,1111111111
868,0000000010
869,1111111111
870,1111111101
871,1111111111
872,1111111111
873,1111110111
874,1111111111
875,1111101011
876,0000111110
877,0000000000
878,0000000001
879,1111111111
880,1111111111
881,1111111111
882,1111111111
883,1111011111
884,0000000000
885,0000000000
886,0000000010
887,1111111111
888,1111111111
889,1111111111
890,1000000000
891,1111101111
892,0000001010
893,0000000000
894,0000000000
895,0000000000
896,1111110111
897,0000000000
898,0000000000
899,1111111111
900,0000000000
901,0000000000
902,1111111111
903,1010000010
904,1111111111
905,0000010000
906,1111111001
907,0000000000
908,0000100000
909,1111111111
910,0000000010
911,0000000010
912,1111111111
913,1111111111
914,1111010001
915,0001000000
916,1111101111
917,0000010010
918,1111111111
919,0000000010
920,1111111111
921,0000000000
922,1111111111
923,0000000000
924,1111111111
925,0000000010
926,1111111111
927,1111111111
928,0000000000
929,1111111111
930,0000111000
931,0011000000
932,1111111111
933,0000000010
934,1111101111
935,0000000010
936,0000000010
937,1111111111
938,0000000000
939,1111111111
940,0000000000
941,0000100010
942,0000000000
943,1111111101
944,1111111111
945,1111111111
946,1111111111
947,0000000010
948,0000000000
949,0000100010
950,1111111101
951,1111111111
952,1111111101
953,0000000000
954,1111111111
955,0011111110
956,0000000000
957,0000000000
958,1111101111
959,1111111111
960,1111111111
961,0000011110
962,0000000000
963,0111111111
964,1111111101
965,1111111111
966,1111111111
967,0000000000
968,1111111111
969,0000001010
970,0000000000
971,0000111110
972,0000000000
973,0000000000
974,0000000000
975,1111111011
976,0000010110
977,0111111111
978,1111101111
979,1000000000
980,1111110111
981,0000000000
982,0000000000
983,1111111111
984,0000000000
985,1111111101
986,1111111111
987,1111111111
988,0011011110
989,1111111110
990,0000000000
991,1111111111
992,0000000000
993,1111111111
994,1111111111
995,0100000000
996,1000000001
997,1111111111
998,0000000000
999,1111111111
1000,1111110111
1001,0000000010
1002,1111111111
1003,0000000000
1004,1111111111
1005,1111101111
1006,1111111111
1007,0000000000
1008,1111111111
1009,0000000000
1010,0000000010
1011,0000000000
1012,0000000000
1013,1101111111
1014,0000011100
1015,1111111111
1016,0000000000
1017,0111111110
1018,0000000000
1019,1111110101
1020,0000000010
1021,1111111111
1022,1111111111
1023,1111111111
1024,1111111111
1025,1111111111
1026,0000000010
1027,0000000000
1028,1111111111
1029,1111111111
1030,1000000110
1031,0000000000
